"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6760","Tambah 2 produk ke keranjang","chromium","2026-05-25","passed","2026-05-25","SauceDemo tambah keranjang","Belanja.spec.ts","",""
"","3227","Buka detail produk Backpack","chromium","2026-05-25","passed","2026-05-25","SauceDemo Detail Produk","DetailProduct.spec.ts","",""
"","3009","Batal checkout dan kembali ke halaman utama","chromium","2026-05-25","passed","2026-05-25","SauceDemo Checkout","Checkout.spec.ts","",""
"","2791","Batal checkout","chromium","2026-05-25","passed","2026-05-25","SauceDemo Checkout","Checkout.spec.ts","",""
"","2075","Login gagal dengan user tanpa username dan password","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","7367","Tambah semua produk ke keranjang","chromium","2026-05-25","passed","2026-05-25","SauceDemo tambah keranjang","Belanja.spec.ts","",""
"","2589","Login gagal dengan user tidak valid","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","2521","Checkout dengan data tidak valid","chromium","2026-05-25","passed","2026-05-25","SauceDemo Checkout","Checkout.spec.ts","",""
"","3864","Login berhasil dengan user valid","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","1807","Login gagal dengan user terkunci","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","2048","Login dengan user bermasalah","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","7700","Login dengan user performance","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","2608","Login dengan akun bermasalah","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","2742","Login dengan user visual","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","2170","Login gagal dengan user tanpa password","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
"","7677","Checkout dengan data valid","chromium","2026-05-25","passed","2026-05-25","SauceDemo Checkout","Checkout.spec.ts","",""
"","6733","Tambah 1 produk ke keranjang","chromium","2026-05-25","passed","2026-05-25","SauceDemo tambah keranjang","Belanja.spec.ts","",""
"","2855","Kembali berbelanja saat checkout","chromium","2026-05-25","passed","2026-05-25","SauceDemo Checkout","Checkout.spec.ts","",""
"","2788","Buka detail produk Backpack dan memasukan kekeranjang","chromium","2026-05-25","passed","2026-05-25","SauceDemo Detail Produk","DetailProduct.spec.ts","",""
"","1637","Login gagal dengan user tanpa username","chromium","2026-05-25","passed","2026-05-25","SauceDemo Login","Login.spec.ts","",""
